"","X","ofcrec_cj_correct","ofcrec_vp_correct","ofcrec_speaker_correct","knowl_housemaj","knowl_senmaj","mode","validated_vote","dem_raceeth_x","gender_respondent_x","dem_edugroup_x","dem_eduspgroup_x","interest_attention","dem_age_r_x","justice_roberts","vp_biden","speaker_boehner","majority_house","majority_senate","mode_ftf","validated_voter16","race","female","college","spouse_educ","news_interest","age_cat6","pol_knowledge","treat","vote","v"
"128",336,0.5,1,1,1,2,"1. FTF (face-to-face) mode",1,1,"1. Male",2,3,1,43,1,1,1,0,0,1,1,1,0,0,1,3,3,3,2,1,1
"129",337,0.5,1,1,1,2,"1. FTF (face-to-face) mode",1,1,"1. Male",2,3,1,43,1,1,1,0,0,1,1,1,0,0,1,3,3,3,2,1,1
"130",347,0,1,0,1,2,"1. FTF (face-to-face) mode",1,1,"1. Male",2,NA,4,28,0,1,0,0,0,1,1,1,0,0,NA,1,2,1,0,1,0
"131",348,0,1,0,1,2,"1. FTF (face-to-face) mode",1,1,"1. Male",2,NA,4,28,0,1,0,0,0,1,1,1,0,0,NA,1,2,1,0,1,0
"132",349,0,1,0,1,2,"1. FTF (face-to-face) mode",1,1,"1. Male",2,NA,4,28,0,1,0,0,0,1,1,1,0,0,NA,1,2,1,0,1,0
"133",350,0,1,0,1,2,"1. FTF (face-to-face) mode",1,1,"1. Male",2,NA,4,28,0,1,0,0,0,1,1,1,0,0,NA,1,2,1,0,1,0
"134",351,0,1,0,1,2,"1. FTF (face-to-face) mode",1,1,"1. Male",2,NA,4,28,0,1,0,0,0,1,1,1,0,0,NA,1,2,1,0,1,0
"135",352,1,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",2,4,1,61,1,1,1,1,1,1,1,1,0,0,2,3,5,5,4,1,1
"136",353,1,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",2,4,1,61,1,1,1,1,1,1,1,1,0,0,2,3,5,5,4,1,1
"137",354,1,1,1,2,1,"1. FTF (face-to-face) mode",1,1,"1. Male",2,4,1,61,1,1,1,1,1,1,1,1,0,0,2,3,5,5,4,1,1
"138",355,0,1,0,1,2,"1. FTF (face-to-face) mode",1,1,"1. Male",3,NA,1,56,0,1,0,0,0,1,1,1,0,1,NA,3,5,1,0,1,1
"139",356,0,1,0,1,2,"1. FTF (face-to-face) mode",1,1,"1. Male",3,NA,1,56,0,1,0,0,0,1,1,1,0,1,NA,3,5,1,0,1,1
"140",358,0,1,0,2,1,"1. FTF (face-to-face) mode",1,2,"1. Male",4,NA,2,49,0,1,0,1,1,1,1,2,0,1,NA,3,4,3,2,1,1
"141",359,0,1,0,2,1,"1. FTF (face-to-face) mode",0,2,"1. Male",4,NA,2,49,0,1,0,1,1,1,0,2,0,1,NA,3,4,3,2,0,1
"142",360,0,1,0,2,1,"1. FTF (face-to-face) mode",1,2,"1. Male",4,NA,2,49,0,1,0,1,1,1,1,2,0,1,NA,3,4,3,2,1,1
"143",364,0,0,0,1,2,"1. FTF (face-to-face) mode",1,2,"2. Female",1,NA,1,33,0,0,0,0,0,1,1,2,1,0,NA,3,2,0,0,1,1
"144",365,0,1,0,2,2,"1. FTF (face-to-face) mode",1,2,"2. Female",3,NA,2,42,0,1,0,1,0,1,1,2,1,1,NA,3,3,2,1,1,1
"145",366,0,1,0,2,2,"1. FTF (face-to-face) mode",1,2,"2. Female",3,NA,2,42,0,1,0,1,0,1,1,2,1,1,NA,3,3,2,1,1,1
"146",367,0,1,0,2,2,"1. FTF (face-to-face) mode",1,2,"2. Female",3,NA,2,42,0,1,0,1,0,1,1,2,1,1,NA,3,3,2,1,1,1
"147",385,0,1,0,2,1,"1. FTF (face-to-face) mode",1,2,"2. Female",4,2,3,34,0,1,0,1,1,1,1,2,1,1,0,2,2,3,2,1,0
