"","X","V162076a","V162076b","V162072","V162073a","V162073b","V161515","V161516","V160501","V162062x","vote2016","V161310x","V161342","V161270","V161272","V161003","V161267c","justice_roberts","vp_biden","speaker_ryan","majority_house","majority_senate","mode_ftf","validated_vote","race","female","college","spouse_educ","news_interest","dem_age_r_x","age_cat6","pol_knowledge","treat","vote","v"
"877",1025,0,0,1,0,0.5,1,1,"1. FTF/CASI",1,0,1,2,10,9,"2. Most of the time",1979,0,1,1,0,0,1,0,1,1,1,0,4,37,3,2,1,0,2
"878",1026,0,0,1,1,1,1,1,"1. FTF/CASI",-2,0,1,1,9,NA,"2. Most of the time",1966,0,1,1,0,0,1,0,1,0,0,NA,4,50,4,2,1,0,2
"879",1027,0,0,1,1,1,1,2,"1. FTF/CASI",3,1,5,1,9,9,"2. Most of the time",1979,0,1,1,0,1,1,1,3,0,0,0,4,37,3,3,2,1,2
"880",1028,0,0,1,0,0.5,1,2,"1. FTF/CASI",1,1,4,2,9,8,"4. Some of the time",1975,0,1,1,0,1,1,1,4,1,0,0,2,41,3,3,2,1,0
"881",1029,0,0,1,0,0,2,2,"1. FTF/CASI",-2,0,5,2,10,NA,"4. Some of the time",1996,0,1,0,1,1,1,0,3,1,1,NA,2,20,1,3,2,0,0
"882",1030,0,0,1,0,0.5,1,2,"1. FTF/CASI",-2,0,5,1,10,14,"2. Most of the time",1984,0,1,1,0,1,1,0,3,0,1,2,4,32,2,3,2,0,2
"883",1031,0,0,1,1,1,2,1,"1. FTF/CASI",2,1,1,2,14,9,"2. Most of the time",1957,0,1,1,1,0,1,1,1,1,1,0,4,59,5,3,2,1,2
"884",1032,0.5,0,1,1,1,1,1,"1. FTF/CASI",1,1,1,1,13,NA,"1. Always",1993,1,1,1,0,0,1,1,1,0,1,NA,5,23,1,3,2,1,3
"885",1033,0,0,1,1,1,2,2,"1. FTF/CASI",2,1,1,1,13,13,"2. Most of the time",1954,0,1,1,1,1,1,1,1,0,1,2,4,62,5,4,3,1,2
"886",1034,0,0,0,0,0,1,1,"1. FTF/CASI",1,1,2,2,9,NA,"4. Some of the time",1975,0,0,0,0,0,1,1,2,1,0,NA,2,41,3,0,0,1,0
"887",1035,1,1,1,1,1,2,1,"1. FTF/CASI",1,1,1,2,14,10,"1. Always",1942,1,1,1,1,0,1,1,1,1,1,1,5,74,6,4,3,1,3
"888",1036,0,0,1,0,0,2,1,"1. FTF/CASI",2,1,5,2,10,8,"3. About half the time",-9,0,1,0,1,0,1,1,3,1,1,0,3,NA,NA,2,1,1,1
"889",1037,0,0,1,1,1,2,1,"1. FTF/CASI",2,1,1,1,14,13,"1. Always",1976,0,1,1,1,0,1,1,1,0,1,2,5,40,3,3,2,1,3
"890",1038,0,0,1,1,0.5,1,2,"1. FTF/CASI",1,1,1,2,12,NA,"3. About half the time",-9,0,1,1,0,1,1,1,1,1,1,NA,3,NA,NA,3,2,1,1
"891",1039,0,0,1,1,1,2,2,"1. FTF/CASI",2,1,1,2,15,11,"2. Most of the time",1986,0,1,1,1,1,1,1,1,1,1,1,4,30,2,4,3,1,2
"892",1040,0,0,1,1,1,2,1,"1. FTF/CASI",3,1,1,1,13,14,"3. About half the time",1985,0,1,1,1,0,1,1,1,0,1,2,3,31,2,3,2,1,1
"893",1041,0.5,0,1,0,0.5,2,2,"1. FTF/CASI",-2,1,1,1,13,NA,"1. Always",1982,1,1,1,1,1,1,1,1,0,1,NA,5,34,2,5,4,1,3
"894",1042,0,0,0,0,0,2,1,"1. FTF/CASI",2,1,5,1,9,NA,"3. About half the time",1958,0,0,0,1,0,1,1,3,0,0,NA,3,58,5,1,0,1,1
